ticker_yahoo,name
SAP.DE,SAP SE
ASML.AS,ASML Holding N.V.
SIE.DE,Siemens AG
ALV.DE,Allianz SE
TTE.PA,TotalEnergies SE
SU.PA,Schneider Electric SE
MC.PA,LVMH Moët Hennessy Louis Vuitton SE
DTE.DE,Deutsche Telekom AG
SAN.MC,"Banco Santander, S.A."
AI.PA,Air Liquide S.A.
AIR.PA,Airbus SE
SAN.PA,Sanofi
SAF.PA,Safran SA
IBE.MC,"Iberdrola, S.A."
OR.PA,L'Oréal S.A.
UCG.MI,UniCredit S.p.A.
BNP.PA,BNP Paribas SA
RMS.PA,Hermès International SCA
CS.PA,AXA SA
MUV2.DE,Münchener Rückversicherungs-Gesellschaft AG (Munich Re)
EL.PA,EssilorLuxottica SA
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A."
DG.PA,Vinci SA
ISP.MI,Intesa Sanpaolo S.p.A.
ABI.BR,Anheuser-Busch InBev SA/NV
ENEL.MI,Enel S.p.A.
PRX.AS,Prosus N.V.
INGA.AS,ING Groep N.V.
DB1.DE,Deutsche Börse AG
ITX.MC,"Industria de Diseño Textil, S.A. (Inditex)"
SGO.PA,Compagnie de Saint-Gobain SA
BN.PA,Danone SA
RACE.MI,Ferrari N.V.
ADYEN.AS,Adyen N.V.
IFX.DE,Infineon Technologies AG
NDA-FI.HE,Nordea Bank Abp
DHL.DE,Deutsche Post AG (DHL Group)
BAS.DE,BASF SE
ADS.DE,adidas AG
MBG.DE,Mercedes-Benz Group AG
WKL.AS,Wolters Kluwer N.V.
AD.AS,Ahold Delhaize N.V.
ENI.MI,Eni S.p.A.
BAYN.DE,Bayer AG
NOKIA.HE,Nokia Oyj
BMW.DE,Bayerische Motoren Werke AG (BMW)
VOW3.DE,Volkswagen AG Pref
RI.PA,Pernod Ricard SA
STLAM.MI,Stellantis N.V.
KER.PA,Kering SA
